,Word,Frequency,tf_idf
2993,shaker,92,0.0001879003431040007
2975,accepted,93,0.00018766817362999094
2977,'burgh,93,0.00018766817362999094
2974,obnoxious,93,0.00018766817362999094
2990,greatly,93,0.00018735760347740946
2982,resident,93,0.00018735760347740946
2987,opposed,93,0.00018735760347740946
2979,involved,93,0.00018735760347740946
2984,quote,93,0.00018735760347740946
2986,advise,93,0.00018735760347740946
2983,selling,93,0.00018735760347740946
3040,bogo,90,0.00018730125185893978
3011,bubble,91,0.00018721459616697747
3177,mangia,83,0.00018709790621274146
2978,flaky,93,0.00018705039090575093
2994,guarantee,92,0.00018691387949605937
3050,omelette,89,0.00018673132973814508
3004,july,92,0.00018659260367694314
2998,pre-made,92,0.00018659260367694314
3001,upgrade,92,0.00018659260367694314
3036,stack,90,0.00018656786940083803
3021,hop,91,0.0001865279990537286
3124,dina,86,0.0001863007771878413
3005,laugh,92,0.00018627495817076452
3065,masthead,88,0.0001862153927947619
3079,pastrami,88,0.0001862153927947619
3000,visible,92,0.0001859608618506512
3002,human,92,0.0001859608618506512
2997,mass,92,0.0001859608618506512
3017,steelers,91,0.00018585794807026156
3012,watered,91,0.00018585794807026156
2996,crafted,92,0.0001856502362791308
2992,understood,92,0.0001856502362791308
3015,tree,91,0.00018552888185956556
3082,jojo,88,0.00018541267358684993
3067,mr.,88,0.00018541267358684993
3006,unbelievably,92,0.0001853430055905556
3003,comfy,92,0.0001853430055905556
3008,overlook,91,0.00018520366446474914
3085,muffin,88,0.00018502012505995644
3014,smoky,91,0.00018488220689284133
3030,repeated,90,0.00018481567097435443
3034,computer,90,0.00018481567097435443
3075,luigi,88,0.0001846332249096266
3081,chowder,88,0.0001846332249096266
3059,power,89,0.00018449489307416207
3042,solon,89,0.00018449489307416207
3039,dim,90,0.00018447824082236893
3016,commented,91,0.00018425023036456055
3026,teenager,90,0.000184144900833604
3019,suburb,91,0.00018393954813488323
3009,content,91,0.00018393954813488323
3022,smiling,91,0.00018393954813488323
3007,desire,91,0.00018393954813488323
3066,bjs,88,0.00018387573547946483
3018,seemingly,91,0.00018363229892827068
3095,bagel,87,0.00018330571138699936
3023,coat,90,0.00018316845936074092
3035,grade,90,0.00018316845936074092
3031,sampling,90,0.00018316845936074092
3029,duty,90,0.00018285053428962329
3037,mill,90,0.00018285053428962329
3032,weight,90,0.00018285053428962329
3048,bianco,89,0.00018276216351908385
3024,sidewalk,90,0.00018253624272744436
3041,ultimately,90,0.00018253624272744436
3033,luke,90,0.00018253624272744436
3112,thanksgiving,87,0.0001825351200811081
3156,capri,84,0.00018243067952010143
3063,cacio,88,0.0001824219167474861
3130,lane,85,0.00018234257705345474
3028,blast,90,0.00018222550255835658
3027,settle,90,0.00018222550255835658
3025,conveniently,90,0.00018222550255835658
3103,aunt,87,0.00018215804228902675
3058,cry,89,0.0001820988463798973
3056,badly,89,0.0001820988463798973
3053,lame,89,0.0001820988463798973
3077,confirmation,88,0.00018207042028434123
3038,albeit,90,0.00018191823441911527
