,Word,Frequency
1177,send,410
1178,professional,410
1179,drunk,408
1180,donut,408
1181,sliced,408
1182,fix,407
1183,risotto,407
1184,throughout,406
1185,host,406
1186,whether,406
1187,tasteless,405
1188,playing,404
1189,canned,403
1190,wanting,403
1191,agree,401
1192,healthy,401
1193,previous,401
1194,adult,400
1195,cause,399
1196,experienced,399
1197,additional,398
1198,mother,397
1199,returned,397
1200,helped,397
1201,particularly,395
1202,pub,395
1203,recipe,395
1204,giant,394
1205,neapolitan,394
1206,beverage,394
1207,apology,393
1208,story,393
1209,hell,393
1210,kick,392
1211,sample,391
1212,god,391
1213,general,391
1214,pretzel,390
1215,strong,390
1216,compared,390
1217,balance,389
1218,awhile,389
1219,realize,388
1220,notice,387
1221,earlier,387
1222,club,387
1223,sadly,387
1224,lake,386
1225,par,386
1226,hey,384
1227,extensive,383
1228,smile,382
1229,staple,382
1230,stated,382
1231,nacho,381
1232,enjoyable,381
1233,leaf,381
1234,penne,381
1235,favor,380
1236,excuse,380
1237,sense,379
1238,fioris,379
1239,telling,379
1240,quiet,379
1241,baby,377
1242,bigger,374
1243,creative,374
1244,living,374
1245,container,373
1246,nyc,373
1247,closer,373
1248,system,371
1249,delish,371
1250,cheesecake,369
1251,stood,367
1252,provolone,367
1253,ran,367
1254,suggested,367
1255,version,367
1256,dad,365
1257,il,365
1258,breaded,365
1259,spoke,365
1260,separate,365
1261,lamb,364
1262,toast,363
1263,strange,362
1264,serf,361
1265,drinking,361
1266,rare,361
1267,consistency,361
1268,threw,361
1269,na,361
1270,fee,361
1271,book,359
1272,discount,359
1273,appreciated,357
1274,mussel,357
1275,crunch,357
1276,he,357
1277,mary,356
1278,dive,356
1279,apologized,355
1280,driving,355
1281,coworkers,355
1282,spectacular,354
1283,stuck,354
1284,informed,352
1285,fat,352
1286,fare,351
1287,omg,351
1288,blend,350
1289,stomach,349
1290,mama,349
1291,promptly,349
1292,pricing,348
1293,particular,348
1294,throw,348
1295,explain,348
1296,di,348
1297,pickle,348
1298,onto,348
1299,wonder,347
1300,setting,347
1301,enjoying,347
1302,reminded,347
1303,bright,347
1304,proper,347
1305,rate,345
1306,build,344
1307,plastic,342
1308,modern,342
1309,requested,342
1310,passed,341
1311,possibly,340
1312,impressive,339
1313,hardly,339
1314,finding,339
1315,dels,338
1316,nickel,338
1317,process,338
1318,address,337
1319,apple,337
1320,lucky,337
1321,plentiful,337
1322,hype,337
1323,caprese,336
1324,certain,336
1325,register,336
1326,moment,335
1327,station,335
1328,frequently,335
1329,frequent,334
1330,shouldnt,334
1331,besides,334
1332,vodka,334
1333,deluxe,334
1334,clam,334
1335,important,333
1336,provided,332
1337,section,332
1338,missed,332
1339,biggest,331
1340,machine,331
1341,joke,331
1342,cardboard,331
1343,dined,330
1344,juicy,330
1345,hubby,330
1346,wisconsin,329
1347,fit,329
1348,chili,329
1349,admit,329
1350,sick,328
1351,refused,328
1352,heaven,328
1353,knot,327
1354,hopefully,327
1355,response,326
1356,pool,326
1357,air,325
1358,needle,325
1359,gift,325
1360,alright,325
1361,seasonal,324
1362,candle,324
1363,aiellos,324
1364,platter,324
1365,flatbread,323
1366,bringing,323
1367,downstairs,322
1368,cherry,322
1369,oakland,322
1370,sugar,322
1371,pita,322
1372,rice,321
1373,picking,320
1374,putting,319
1375,figure,319
1376,flavorless,319
1377,gravy,319
1378,staying,318
1379,snack,318
1380,older,317
1381,somehow,317
1382,champaign,317
1383,inviting,317
1384,mediterranean,316
1385,cafe,316
1386,courteous,314
1387,al,314
1388,marsala,314
1389,flight,314
1390,river,313
1391,timely,310
1392,appeared,310
1393,reviewer,310
1394,regret,309
1395,major,309
1396,shell,308
1397,terrific,308
1398,cauliflower,308
1399,team,308
1400,aside,308
1401,herb,307
1402,ground,307
1403,carryout,307
1404,cheaper,307
1405,sour,307
1406,reminds,307
1407,everywhere,306
1408,campus,306
1409,downside,306
1410,describe,306
1411,desert,306
1412,fluffy,305
1413,crap,305
1414,bomb,305
1415,cannoli,305
1416,country,305
1417,smoked,305
1418,memory,305
